Feature,Importance
Pressure_hPa,0.63325542371695
Day_of_Year,0.299544797392154
Year,0.044524501362413024
Longitude,0.0056457260915259416
Hour,0.005586069511175851
Hour_Sin,0.0033536742194606247
Hour_Cos,0.002667954422772181
Month_Cos,0.0019921793427598515
Latitude,0.0017721742012541785
Month_Sin,0.0016574997395342353
