Year,Month,Day,Hour,Pressure_hPa,Latitude,Longitude,Height_m,Temperature_K,Specific_Humidity,Vapour_Pressure_hPa,Radio_Refractivity
2026,1,1,0,1000.0,19.25,72.5,98.74719199631119,294.9778747558594,0.013421397656202316,21.403236122985273,354.82127872002764
2026,1,1,0,1000.0,19.25,72.75,99.76690820928911,293.9270935058594,0.013761859387159348,21.941670727286084,358.74361049767316
2026,1,1,0,1000.0,19.25,73.0,100.04733016785804,293.2239685058594,0.01285729929804802,20.510637279709048,353.62343676086493
2026,1,1,0,1000.0,19.0,72.5,99.00212104955567,295.1204528808594,0.013394217938184738,21.360242321761792,354.4214265901075
2026,1,1,0,1000.0,19.0,72.75,99.57571141935576,294.3860778808594,0.014223914593458176,22.672050078067333,361.1803826825894
2026,1,1,0,1000.0,19.0,73.0,99.41000753474684,293.9778747558594,0.013078074902296066,20.86005301186601,353.9970389245873
2026,1,1,0,1000.0,18.75,72.5,99.04036040754234,295.1751403808594,0.013479094952344894,21.49449899649286,354.91357552757336
2026,1,1,0,1000.0,18.75,72.75,99.04036040754234,294.7415466308594,0.013999801129102707,22.317840506185597,359.1063920861941
2026,1,1,0,1000.0,18.75,73.0,98.72169909098673,294.6634216308594,0.01275668665766716,20.351369442764693,350.77921002473266
2026,1,1,0,925.0,19.25,72.5,771.1038236808697,290.23126220703125,0.011871293187141418,17.52780198787022,324.93541618512114
2026,1,1,0,925.0,19.25,72.75,771.6009353346964,290.34844970703125,0.011196091771125793,16.537613630890867,320.3918103732502
2026,1,1,0,925.0,19.25,73.0,771.6519211453453,290.56915283203125,0.009412720799446106,13.918400246991473,308.5216584493167
2026,1,1,0,925.0,19.0,72.5,771.2567811128164,290.16876220703125,0.01227898895740509,18.125300590557703,327.6690678872529
2026,1,1,0,925.0,19.0,72.75,771.5244566187231,290.00469970703125,0.011511757969856262,17.000641118346998,322.9119651823379
2026,1,1,0,925.0,19.0,73.0,771.5881888820342,290.40899658203125,0.00986047089099884,14.576535475494035,311.63647550657333
2026,1,1,0,925.0,18.75,72.5,771.2567811128164,290.16290283203125,0.012336209416389465,18.209136526431156,328.0487175544167
2026,1,1,0,925.0,18.75,72.75,771.3842456394386,290.01446533203125,0.01161523163318634,17.152380621117157,323.57148032749853
