Year,Month,Day,Hour,Pressure_hPa,Latitude,Longitude,Height_m,Temperature_K,Specific_Humidity,Vapour_Pressure_hPa,Radio_Refractivity,Day_of_Year,Month_Sin,Month_Cos,Hour_Sin,Hour_Cos,Season,Predicted_Refractivity
2026,1,1,0,1000.0,19.25,72.5,98.7471919963112,294.9778747558594,0.0134213976562023,21.40323612298528,354.82127872002764,1,0.4999999999999999,0.8660254037844387,0.0,1.0,1,354.4278702576685
2026,1,1,0,1000.0,19.25,72.75,99.76690820928911,293.9270935058594,0.0137618593871593,21.941670727286084,358.7436104976732,1,0.4999999999999999,0.8660254037844387,0.0,1.0,1,352.6341334411761
2026,1,1,0,1000.0,19.25,73.0,100.04733016785804,293.2239685058594,0.012857299298048,20.510637279709048,353.62343676086493,1,0.4999999999999999,0.8660254037844387,0.0,1.0,1,343.5450284216155
2026,1,1,0,1000.0,19.0,72.5,99.00212104955568,295.1204528808594,0.0133942179381847,21.360242321761792,354.4214265901075,1,0.4999999999999999,0.8660254037844387,0.0,1.0,1,356.2915662082954
2026,1,1,0,1000.0,19.0,72.75,99.57571141935576,294.3860778808594,0.0142239145934581,22.672050078067333,361.1803826825894,1,0.4999999999999999,0.8660254037844387,0.0,1.0,1,354.83220102350595
2026,1,1,0,1000.0,19.0,73.0,99.41000753474684,293.9778747558594,0.013078074902296,20.86005301186601,353.9970389245873,1,0.4999999999999999,0.8660254037844387,0.0,1.0,1,347.0633062915569
2026,1,1,0,1000.0,18.75,72.5,99.04036040754234,295.1751403808594,0.0134790949523448,21.49449899649286,354.91357552757336,1,0.4999999999999999,0.8660254037844387,0.0,1.0,1,356.49809064546884
2026,1,1,0,1000.0,18.75,72.75,99.04036040754234,294.7415466308594,0.0139998011291027,22.3178405061856,359.1063920861941,1,0.4999999999999999,0.8660254037844387,0.0,1.0,1,354.28209768282005
2026,1,1,0,1000.0,18.75,73.0,98.72169909098672,294.6634216308594,0.0127566866576671,20.351369442764693,350.77921002473266,1,0.4999999999999999,0.8660254037844387,0.0,1.0,1,346.4963506446157
2026,1,1,0,925.0,19.25,72.5,771.1038236808697,290.23126220703125,0.0118712931871414,17.52780198787022,324.93541618512114,1,0.4999999999999999,0.8660254037844387,0.0,1.0,1,286.7034207971709
2026,1,1,0,925.0,19.25,72.75,771.6009353346964,290.34844970703125,0.0111960917711257,16.537613630890867,320.3918103732502,1,0.4999999999999999,0.8660254037844387,0.0,1.0,1,291.8872080364385
2026,1,1,0,925.0,19.25,73.0,771.6519211453453,290.56915283203125,0.0094127207994461,13.918400246991473,308.5216584493167,1,0.4999999999999999,0.8660254037844387,0.0,1.0,1,294.1646883692531
2026,1,1,0,925.0,19.0,72.5,771.2567811128164,290.16876220703125,0.012278988957405,18.125300590557703,327.6690678872529,1,0.4999999999999999,0.8660254037844387,0.0,1.0,1,287.3510962217852
2026,1,1,0,925.0,19.0,72.75,771.5244566187231,290.00469970703125,0.0115117579698562,17.000641118346998,322.9119651823379,1,0.4999999999999999,0.8660254037844387,0.0,1.0,1,292.19809408097615
2026,1,1,0,925.0,19.0,73.0,771.5881888820342,290.40899658203125,0.0098604708909988,14.576535475494037,311.63647550657333,1,0.4999999999999999,0.8660254037844387,0.0,1.0,1,293.9665521201595
2026,1,1,0,925.0,18.75,72.5,771.2567811128164,290.16290283203125,0.0123362094163894,18.20913652643116,328.0487175544167,1,0.4999999999999999,0.8660254037844387,0.0,1.0,1,286.90489360578374
2026,1,1,0,925.0,18.75,72.75,771.3842456394386,290.01446533203125,0.0116152316331863,17.152380621117157,323.57148032749853,1,0.4999999999999999,0.8660254037844387,0.0,1.0,1,290.93249416724575
2026,1,1,0,925.0,18.75,73.0,771.4097385447631,290.58282470703125,0.0096306353807449,14.238751221129045,309.91937526785125,1,0.4999999999999999,0.8660254037844387,0.0,1.0,1,292.2388436800286
2026,1,1,0,850.0,19.25,72.5,1489.0417949809569,286.14166259765625,0.0087697654962539,11.920873500969096,284.82205422473083,1,0.4999999999999999,0.8660254037844387,0.0,1.0,1,265.45728041155087
2026,1,1,0,850.0,19.25,72.75,1489.3732027501746,286.23345947265625,0.0083892494440078,11.406256004916964,282.37040535299843,1,0.4999999999999999,0.8660254037844387,0.0,1.0,1,265.75607746883287
2026,1,1,0,850.0,19.25,73.0,1489.4241885608235,286.33990478515625,0.0082357078790664,11.198536271798076,281.30115800371607,1,0.4999999999999999,0.8660254037844387,0.0,1.0,1,270.0155246655969
2026,1,1,0,850.0,19.0,72.5,1489.207498865566,286.31939697265625,0.0089533478021621,12.16906921894011,285.74083880891624,1,0.4999999999999999,0.8660254037844387,0.0,1.0,1,265.60174307974484
2026,1,1,0,850.0,19.0,72.75,1489.2967240342014,286.39752197265625,0.008443608880043,11.47978728750684,282.51330094124825,1,0.4999999999999999,0.8660254037844387,0.0,1.0,1,265.9119929836175
2026,1,1,0,850.0,19.0,73.0,1489.564399540108,286.46002197265625,0.0081536918878555,11.087564584233968,280.65742989988786,1,0.4999999999999999,0.8660254037844387,0.0,1.0,1,269.98591737380104
2026,1,1,0,850.0,18.75,72.5,1489.5134137294592,286.58209228515625,0.0088656097650527,12.050457877710656,284.8895198637714,1,0.4999999999999999,0.8660254037844387,0.0,1.0,1,266.3906752809721
2026,1,1,0,850.0,18.75,72.75,1489.4751743714726,286.60650634765625,0.008572831749916,11.65456593600822,283.06290629199475,1,0.4999999999999999,0.8660254037844387,0.0,1.0,1,266.6194220667361
2026,1,1,0,850.0,18.75,73.0,1489.9340466673125,286.76763916015625,0.0075671821832656,10.293667047281264,276.701446384996,1,0.4999999999999999,0.8660254037844387,0.0,1.0,1,269.95271102740986
2026,1,1,6,1000.0,19.25,72.5,121.81062842242255,295.28424072265625,0.0136710852384567,21.798134514264994,356.0473728460777,1,0.4999999999999999,0.8660254037844387,1.0,6.123233995736766e-17,1,351.06106888133576
2026,1,1,6,1000.0,19.25,72.75,120.7909122094446,296.34674072265625,0.0124861449003219,19.923011275548365,346.47356447588686,1,0.4999999999999999,0.8660254037844387,1.0,6.123233995736766e-17,1,334.8848358833564
2026,1,1,6,1000.0,19.25,73.0,119.84767471244004,297.75299072265625,0.0110627859830856,17.667053186443795,334.9481185159153,1,0.4999999999999999,0.8660254037844387,1.0,6.123233995736766e-17,1,326.98462015707673
2026,1,1,6,1000.0,19.0,72.5,121.35175612658249,295.37017822265625,0.013934776186943,22.215051188559325,357.6991390130667,1,0.4999999999999999,0.8660254037844387,1.0,6.123233995736766e-17,1,353.72002270439555
2026,1,1,6,1000.0,19.0,72.75,120.80365866210684,295.64166259765625,0.0131704062223434,21.00615577453236,352.1245218163698,1,0.4999999999999999,0.8660254037844387,1.0,6.123233995736766e-17,1,342.1110678000209
2026,1,1,6,1000.0,19.0,73.0,119.54175984854666,297.29010009765625,0.0114089697599411,18.216095176326327,337.9027040357644,1,0.4999999999999999,0.8660254037844387,1.0,6.123233995736766e-17,1,327.68010974446554
2026,1,1,6,1000.0,18.75,72.5,120.7909122094446,295.52838134765625,0.0140043944120407,22.32510111413616,357.92684031712014,1,0.4999999999999999,0.8660254037844387,1.0,6.123233995736766e-17,1,356.0362850881163
2026,1,1,6,1000.0,18.75,72.75,120.43401153490234,295.39166259765625,0.0131818503141403,21.02426348508537,352.57587647418507,1,0.4999999999999999,0.8660254037844387,1.0,6.123233995736766e-17,1,345.84131159881696
2026,1,1,6,1000.0,18.75,73.0,118.53479008823096,297.28814697265625,0.0108682364225387,17.358399934171974,334.2856118233348,1,0.4999999999999999,0.8660254037844387,1.0,6.123233995736766e-17,1,327.4668179092724
2026,1,1,6,925.0,19.25,72.5,795.097377720093,290.8597106933594,0.0110882222652435,16.37934734780766,319.00244857760896,1,0.4999999999999999,0.8660254037844387,1.0,6.123233995736766e-17,1,287.7915476513815
2026,1,1,6,925.0,19.25,72.75,795.5052642052842,291.3538513183594,0.0098441541194915,14.552558164193028,310.3120966917577,1,0.4999999999999999,0.8660254037844387,1.0,6.123233995736766e-17,1,290.82700091716197
2026,1,1,6,925.0,19.25,73.0,795.3395603206753,291.7542419433594,0.0088842809200286,13.141203051897657,303.61401520491086,1,0.4999999999999999,0.8660254037844387,1.0,6.123233995736766e-17,1,291.2233791542574
2026,1,1,6,925.0,19.0,72.5,795.1101241727553,291.0374450683594,0.0111359059810638,16.449311501047795,319.07165729485587,1,0.4999999999999999,0.8660254037844387,1.0,6.123233995736766e-17,1,288.0961422164104
2026,1,1,6,925.0,19.0,72.75,795.0718848147686,291.7718200683594,0.0094865262508392,14.026909310009325,307.47297052076146,1,0.4999999999999999,0.8660254037844387,1.0,6.123233995736766e-17,1,290.9581296105005
2026,1,1,6,925.0,19.0,73.0,795.1356170780797,291.9319763183594,0.0088952481746673,13.157338067395049,303.4647488285597,1,0.4999999999999999,0.8660254037844387,1.0,6.123233995736766e-17,1,290.61605529958734
2026,1,1,6,925.0,18.75,72.5,794.918927382822,291.3460388183594,0.0109218060970306,16.13514089235906,317.2764901013285,1,0.4999999999999999,0.8660254037844387,1.0,6.123233995736766e-17,1,287.2471167728409
2026,1,1,6,925.0,18.75,72.75,794.7404770455507,291.9632263183594,0.0095637738704681,14.140468697037887,307.72803889166266,1,0.4999999999999999,0.8660254037844387,1.0,6.123233995736766e-17,1,289.6829393377748
2026,1,1,6,925.0,18.75,73.0,795.0846312674308,291.9964294433594,0.0090297162532806,13.3551499984123,304.25043483210976,1,0.4999999999999999,0.8660254037844387,1.0,6.123233995736766e-17,1,289.2626588515868
2026,1,1,6,850.0,19.25,72.5,1513.997755987009,286.63970947265625,0.0080444365739822,10.93971964779091,279.77873328159745,1,0.4999999999999999,0.8660254037844387,1.0,6.123233995736766e-17,1,266.10140199517684
2026,1,1,6,850.0,19.25,72.75,1514.813528957391,286.69537353515625,0.0080873519182205,10.997795275076395,279.9783203556875,1,0.4999999999999999,0.8660254037844387,1.0,6.123233995736766e-17,1,266.38833304142224
2026,1,1,6,850.0,19.25,73.0,1515.3998657798536,286.79400634765625,0.0081460028886795,11.077160424164044,280.2247870524623,1,0.4999999999999999,0.8660254037844387,1.0,6.123233995736766e-17,1,269.4522966111707
2026,1,1,6,850.0,19.0,72.5,1514.3546566615512,286.79595947265625,0.0079066306352615,10.753211972257144,278.7534794551515,1,0.4999999999999999,0.8660254037844387,1.0,6.123233995736766e-17,1,266.36391253828873
2026,1,1,6,850.0,19.0,72.75,1515.0047257473243,286.89654541015625,0.0079204589128494,10.77192867865705,278.7234756665195,1,0.4999999999999999,0.8660254037844387,1.0,6.123233995736766e-17,1,266.65039020960603
2026,1,1,6,850.0,19.0,73.0,1515.7312735490714,286.99029541015625,0.008048728108406,10.94552734617306,279.4026630566828,1,0.4999999999999999,0.8660254037844387,1.0,6.123233995736766e-17,1,269.4226893193749
2026,1,1,6,850.0,18.75,72.5,1514.74979669408,287.01470947265625,0.0077139884233474,10.492436325751155,277.32311211101205,1,0.4999999999999999,0.8660254037844387,1.0,6.123233995736766e-17,1,267.09215667093537
2026,1,1,6,850.0,18.75,72.75,1515.310640611218,287.14654541015625,0.0077864676713943,10.590557066338224,277.6178605938616,1,0.4999999999999999,0.8660254037844387,1.0,6.123233995736766e-17,1,267.30903744566274
2026,1,1,6,850.0,18.75,73.0,1515.986202602316,287.25592041015625,0.0079109221696853,10.759020638781486,278.25543262388646,1,0.4999999999999999,0.8660254037844387,1.0,6.123233995736766e-17,1,269.3754684075407
